contig_name,start_18S,end_18S,start_28S,end_28S,ITS_start,ITS_end,strand,score,genome_name,ITS_length
NW_001884553.1,1339301,1341114,1341303,1346682,1341115,1341302,+,1403.8,GCF_000146915.1,187
NW_001884553.1,1346649,1348445,1348633,1352167,1348446,1348632,+,1491.2,GCF_000146915.1,186
NW_001884553.1,1355328,1357124,1357312,1360846,1357125,1357311,+,1491.2,GCF_000146915.1,186
NW_001884553.1,1363980,1365793,1365982,1371358,1365794,1365981,+,1403.8,GCF_000146915.1,187
NW_001884553.1,1371325,1373121,1373309,1376843,1373122,1373308,+,1491.2,GCF_000146915.1,186
NW_001884553.1,1380004,1381800,1381988,1385522,1381801,1381987,+,1491.2,GCF_000146915.1,186
NW_001884553.1,1395984,1397780,1397968,1401502,1397781,1397967,+,1491.2,GCF_000146915.1,186
NW_001884553.1,1404662,1406458,1406646,1410180,1406459,1406645,+,1491.2,GCF_000146915.1,186
NW_001884553.1,1413310,1415123,1415312,1420690,1415124,1415311,+,1403.8,GCF_000146915.1,187
NW_001884553.1,1420657,1422453,1422641,1426175,1422454,1422640,+,1491.2,GCF_000146915.1,186
NW_001884553.1,1429335,1431131,1431319,1434853,1431132,1431318,+,1491.2,GCF_000146915.1,186
NW_001884553.1,1445327,1447123,1447311,1450845,1447124,1447310,+,1491.2,GCF_000146915.1,186
NW_001884553.1,1454005,1455801,1455989,1459523,1455802,1455988,+,1491.2,GCF_000146915.1,186
NW_001884553.1,1469980,1471776,1471964,1475498,1471777,1471963,+,1491.2,GCF_000146915.1,186
NW_001884553.1,1478658,1480454,1480642,1484176,1480455,1480641,+,1491.2,GCF_000146915.1,186
NW_001884553.1,1494243,1496045,1496233,1499808,1496046,1496232,+,1476.5,GCF_000146915.1,186
NW_001884553.1,1502828,1504624,1504812,1508379,1504625,1504811,+,1491.2,GCF_000146915.1,186
NW_001884553.1,1511532,1513328,1513516,1517086,1513329,1513515,+,1491.2,GCF_000146915.1,186
NW_001884553.1,1520062,1521859,1522047,1525619,1521860,1522046,+,1476.5,GCF_000146915.1,186
NW_001884553.1,1528640,1530436,1530624,1534192,1530437,1530623,+,1491.2,GCF_000146915.1,186
NW_001884553.1,1537345,1539141,1539329,1542906,1539142,1539328,+,1491.2,GCF_000146915.1,186
NW_001884553.1,1545877,1547674,1547862,1551434,1547675,1547861,+,1476.5,GCF_000146915.1,186
NW_001884553.1,1554457,1556253,1556441,1560008,1556254,1556440,+,1491.2,GCF_000146915.1,186
NW_001884553.1,1563161,1564957,1565145,1568723,1564958,1565144,+,1491.2,GCF_000146915.1,186
NW_001884553.1,1571708,1573505,1573693,1577266,1573506,1573692,+,1476.5,GCF_000146915.1,186
NW_001884553.1,1580287,1582083,1582271,1585836,1582084,1582270,+,1491.2,GCF_000146915.1,186
NW_001884553.1,1588989,1590785,1590973,1594545,1590786,1590972,+,1491.2,GCF_000146915.1,186
NW_001820801.1,650,2448,2599,7286,2449,2598,+,1498.6,GCF_000146945.2,149
NW_001820801.1,11128,12926,13077,17764,12927,13076,+,1498.6,GCF_000146945.2,149
NW_001820801.1,21606,23410,23561,28251,23411,23560,+,1492.3,GCF_000146945.2,149
NW_001820801.1,32093,33891,34042,38729,33892,34041,+,1498.6,GCF_000146945.2,149
NW_004504307.1,3414704,3416502,3416723,3420190,3416503,3416722,+,1508.5,GCF_000149335.2,219
NW_004504307.1,3426148,3427946,3428167,3431634,3427947,3428166,+,1508.5,GCF_000149335.2,219
NW_004504307.1,3434118,3435916,3436137,3439608,3435917,3436136,+,1508.5,GCF_000149335.2,219
NW_004504307.1,3442095,3443905,3444127,3447594,3443906,3444126,+,1486.9,GCF_000149335.2,220
NW_017387867.1,4280,6074,6224,9902,6075,6223,+,1453.4,GCF_000149555.1,148
NW_017387867.1,12195,13989,14139,17817,13990,14138,+,1453.4,GCF_000149555.1,148
NW_017387867.1,20110,21904,22054,25731,21905,22053,+,1453.4,GCF_000149555.1,148
NW_017387867.1,31186,32980,33130,36808,32981,33129,+,1446.5,GCF_000149555.1,148
NW_017387867.1,39101,40895,41045,44723,40896,41044,+,1453.4,GCF_000149555.1,148
NC_031677.1,824780,828405,828555,832247,828406,828554,+,1247.8,GCF_000149555.1,148
NC_031677.1,834549,836343,836493,840171,836344,836492,+,1453.4,GCF_000149555.1,148
NT_165929.1,1914898,1916717,1916906,1920601,1916718,1916905,+,1501.8,GCF_000149615.1,187
NW_025544811.1,639958,642161,642372,646069,642162,642371,+,1292.5,GCF_000150115.1,209
NW_025544811.1,648473,650675,650886,654596,650676,650885,+,1292.7,GCF_000150115.1,209
NW_025544811.1,656790,658992,659203,662897,658993,659202,+,1292.4,GCF_000150115.1,209
NW_025544811.1,665302,667505,667716,671413,667506,667715,+,1292.5,GCF_000150115.1,209
NW_015440953.1,489552,491350,491551,497796,491351,491550,+,1501.9,GCF_000150705.2,199
NW_015440953.1,497763,499561,499762,506008,499562,499761,+,1501.9,GCF_000150705.2,199
NW_015440953.1,505975,507773,507974,512101,507774,507973,+,1501.9,GCF_000150705.2,199
NW_011371389.1,46292,48091,48291,52413,48092,48290,+,1488.5,GCF_000150735.1,198
NW_011371389.1,54624,56422,56622,60744,56423,56621,+,1501.8,GCF_000150735.1,198
NW_011371389.1,103645,105443,105643,109948,105444,105642,+,1501.8,GCF_000150735.1,198
NW_003345197.1,1946487,1948285,1948514,1952010,1948286,1948513,+,1499.3,GCF_000150975.2,227
NW_003345197.1,1962656,1964452,1964681,1968173,1964453,1964680,+,1500.3,GCF_000150975.2,227
NW_003345197.1,1970517,1972315,1972544,1976038,1972316,1972543,+,1499.3,GCF_000150975.2,227
NW_003315975.1,2792,4590,4811,8277,4591,4810,+,1507.5,GCF_000151335.2,219
NW_003315985.1,1900609,1902407,1902628,1906093,1902408,1902627,+,1507.5,GCF_000151335.2,219
NW_003299036.1,6442,8290,8465,11972,8291,8464,+,1291.6,GCF_000151645.1,173
NW_014013638.1,555538,557333,557520,561470,557334,557519,+,1444.6,GCF_000171015.1,185
NW_020185488.1,467,2261,2452,5882,2262,2451,+,1449.4,GCF_000182805.3,189
NW_011929459.1,58117,59911,60104,65273,59912,60103,+,548.9,GCF_000182925.2,191
NW_011929459.1,146542,148336,148529,153647,148337,148528,+,464.6,GCF_000182925.2,191
NW_011929459.1,170635,172429,172622,177774,172430,172621,+,496.6,GCF_000182925.2,191
NW_011929459.1,179458,181252,181445,186402,181253,181444,+,492.3,GCF_000182925.2,191
NC_032096.1,1891237,1893022,1893163,1896610,1893023,1893162,+,1525.5,GCF_000182965.3,139
NC_036441.1,2922898,2924695,2924879,2928354,2924696,2924878,+,1505.7,GCF_000184455.2,182
NC_014939.1,1518807,1520610,1520734,1524256,1520611,1520733,+,1515.4,GCF_000185945.1,122
NC_014939.1,1526934,1528737,1528861,1532383,1528738,1528860,+,1515.4,GCF_000185945.1,122
NC_014939.1,1535061,1536864,1536988,1540510,1536865,1536987,+,1515.4,GCF_000185945.1,122
NC_014939.1,1543188,1544991,1545115,1548637,1544992,1545114,+,1515.4,GCF_000185945.1,122
NC_014939.1,1551315,1553118,1553241,1556763,1553119,1553240,+,1508.3,GCF_000185945.1,121
NC_014939.1,1559441,1561244,1561368,1564890,1561245,1561367,+,1515.4,GCF_000185945.1,122
NC_014939.1,1567568,1569371,1569498,1573022,1569372,1569497,+,1515.4,GCF_000185945.1,125
NC_014939.1,1575700,1577503,1577627,1581149,1577504,1577626,+,1506.6,GCF_000185945.1,122
NC_014939.1,1583827,1585630,1585754,1589276,1585631,1585753,+,1515.4,GCF_000185945.1,122
NC_014939.1,1591954,1593757,1593881,1597406,1593758,1593880,+,1515.4,GCF_000185945.1,122
NC_014939.1,1600084,1601887,1602011,1605533,1601888,1602010,+,1515.4,GCF_000185945.1,122
NC_014939.1,1608210,1610013,1610137,1613659,1610014,1610136,+,1515.4,GCF_000185945.1,122
NC_014939.1,1616337,1618140,1618264,1621786,1618141,1618263,+,1515.4,GCF_000185945.1,122
NC_014939.1,1624464,1626267,1626391,1629913,1626268,1626390,+,1515.4,GCF_000185945.1,122
NC_014939.1,1632591,1634394,1634518,1638042,1634395,1634517,+,1515.4,GCF_000185945.1,122
NC_014939.1,1640720,1642523,1642647,1646169,1642524,1642646,+,1515.4,GCF_000185945.1,122
NC_014939.1,1648847,1650650,1650774,1654296,1650651,1650773,+,1515.4,GCF_000185945.1,122
NC_014939.1,1656974,1658777,1658901,1662423,1658778,1658900,+,1515.4,GCF_000185945.1,122
NC_014939.1,1665101,1666905,1667029,1670551,1666906,1667028,+,1514.8,GCF_000185945.1,122
NC_014939.1,1673229,1675032,1675156,1678678,1675033,1675155,+,1515.4,GCF_000185945.1,122
NC_014939.1,1681356,1683160,1683284,1686806,1683161,1683283,+,1497.4,GCF_000185945.1,122
NC_014939.1,1689484,1691287,1691411,1694933,1691288,1691410,+,1515.4,GCF_000185945.1,122
NC_014939.1,1697611,1699414,1699538,1703060,1699415,1699537,+,1515.4,GCF_000185945.1,122
NC_014939.1,1705738,1707541,1707665,1711187,1707542,1707664,+,1515.4,GCF_000185945.1,122
NC_014939.1,1713865,1715668,1715792,1719314,1715669,1715791,+,1509.4,GCF_000185945.1,122
NC_014939.1,1721992,1723795,1723919,1727441,1723796,1723918,+,1515.4,GCF_000185945.1,122
NC_014939.1,1730119,1731922,1732046,1735568,1731923,1732045,+,1515.4,GCF_000185945.1,122
NC_014939.1,1738246,1740049,1740173,1743695,1740050,1740172,+,1515.4,GCF_000185945.1,122
NC_014939.1,1746373,1748176,1748300,1751822,1748177,1748299,+,1515.4,GCF_000185945.1,122
NC_014939.1,1754500,1756303,1756427,1759949,1756304,1756426,+,1515.4,GCF_000185945.1,122
NC_014939.1,1762627,1764430,1764554,1768076,1764431,1764553,+,1515.4,GCF_000185945.1,122
NC_014939.1,1770754,1772557,1772681,1776203,1772558,1772680,+,1515.4,GCF_000185945.1,122
NC_014939.1,1778881,1780684,1780808,1784330,1780685,1780807,+,1515.4,GCF_000185945.1,122
NC_014939.1,1787008,1788811,1788935,1792457,1788812,1788934,+,1515.4,GCF_000185945.1,122
NC_014939.1,1795135,1796938,1797062,1800584,1796939,1797061,+,1515.4,GCF_000185945.1,122
NC_014939.1,1803262,1805065,1805189,1808711,1805066,1805188,+,1515.4,GCF_000185945.1,122
NC_014939.1,1811389,1813192,1813316,1816838,1813193,1813315,+,1515.4,GCF_000185945.1,122
NC_014939.1,1819516,1821319,1821443,1824965,1821320,1821442,+,1515.4,GCF_000185945.1,122
NC_014939.1,1827643,1829446,1829570,1833092,1829447,1829569,+,1515.4,GCF_000185945.1,122
NC_014939.1,1835770,1837573,1837697,1841219,1837574,1837696,+,1515.4,GCF_000185945.1,122
NC_014939.1,1843897,1845700,1845824,1849346,1845701,1845823,+,1515.4,GCF_000185945.1,122
NC_014939.1,1852024,1853827,1853951,1857473,1853828,1853950,+,1515.4,GCF_000185945.1,122
NC_014939.1,1860151,1861954,1862078,1865600,1861955,1862077,+,1515.4,GCF_000185945.1,122
NC_014939.1,1868278,1870081,1870205,1873727,1870082,1870204,+,1515.4,GCF_000185945.1,122
NC_014939.1,1876405,1878208,1878332,1881854,1878209,1878331,+,1515.4,GCF_000185945.1,122
NC_014939.1,1884532,1886335,1886459,1889981,1886336,1886458,+,1515.4,GCF_000185945.1,122
NC_014939.1,1892659,1894462,1894586,1898108,1894463,1894585,+,1515.4,GCF_000185945.1,122
NC_014939.1,1900786,1902589,1902713,1906235,1902590,1902712,+,1515.4,GCF_000185945.1,122
NC_014939.1,1908913,1910716,1910840,1914362,1910717,1910839,+,1515.4,GCF_000185945.1,122
NC_014939.1,1917040,1918843,1918967,1922489,1918844,1918966,+,1515.4,GCF_000185945.1,122
NW_006281100.1,1825050,1826839,1827031,1830867,1826840,1827030,+,1455.1,GCF_000203795.2,190
NW_006768790.1,761,2565,2759,6363,2566,2758,+,1416.6,GCF_000204055.1,192
NW_006768865.1,58327,60130,60324,63926,60131,60323,+,1416.5,GCF_000204055.1,192
NW_006768836.1,94690,96494,96688,101296,96495,96687,+,1416.7,GCF_000204055.1,192
NW_006763309.1,589413,591213,591421,597067,591214,591420,+,1471.7,GCF_000218685.1,206
NW_006763309.1,598556,600356,600564,606116,600357,600563,+,1450.0,GCF_000218685.1,206
NW_006763309.1,607607,609399,609606,613555,609400,609605,+,1414.8,GCF_000218685.1,205
NW_006763309.1,615647,617453,617661,622957,617454,617660,+,1505.9,GCF_000218685.1,206
NW_006763309.1,624457,626264,626472,631772,626265,626471,+,1513.0,GCF_000218685.1,206
NW_006763309.1,633272,635079,635287,638558,635080,635286,+,1513.0,GCF_000218685.1,206
NW_006383020.1,1533,3327,3515,7316,3328,3514,+,1457.4,GCF_000221225.1,186
NW_006767426.1,341446,343237,343373,346848,343238,343372,+,1524.3,GCF_000223485.1,134
NW_006271972.1,2843074,2845653,2845816,2851057,2845654,2845815,+,515.0,GCF_000225605.1,161
NW_006271972.1,2852196,2854775,2854938,2859988,2854776,2854937,+,530.9,GCF_000225605.1,161
NC_016478.1,601305,603099,603271,606708,603100,603270,+,1455.2,GCF_000226095.1,170
NC_016459.1,1881004,1882799,1882986,1889994,1882800,1882985,+,1454.8,GCF_000226115.1,185
NW_003533830.1,15799,17595,17761,23908,17596,17760,+,993.1,GCF_000230375.1,164
NW_003533857.1,27872,29671,29837,34730,29672,29836,+,942.9,GCF_000230375.1,164
NW_003533857.1,34697,36493,36659,42985,36494,36658,+,940.6,GCF_000230375.1,164
NW_003533830.1,54525,56321,56487,62575,56322,56486,+,1023.3,GCF_000230375.1,164
NW_003533830.1,62259,64104,64270,68918,64105,64269,+,825.8,GCF_000230375.1,164
NW_003533857.1,67290,69086,69252,73237,69087,69251,+,965.1,GCF_000230375.1,164
NW_003533857.1,82337,84133,84299,91195,84134,84298,+,915.2,GCF_000230375.1,164
NW_003533857.1,105807,107604,107770,113475,107605,107769,+,971.3,GCF_000230375.1,164
NW_003533857.1,113442,115238,115404,121900,115239,115403,+,983.9,GCF_000230375.1,164
NW_003533857.1,136344,138140,138306,144837,138141,138305,+,972.9,GCF_000230375.1,164
NW_003533857.1,152453,154249,154415,160773,154250,154414,+,1027.7,GCF_000230375.1,164
NW_003533857.1,176029,177825,177991,184767,177826,177990,+,1044.9,GCF_000230375.1,164
NW_003533857.1,230108,231904,232070,235683,231905,232069,+,985.5,GCF_000230375.1,164
NC_016452.1,404528,406322,406531,410598,406323,406530,+,1502.5,GCF_000235365.1,207
NC_016452.1,412589,414383,414592,420077,414384,414591,+,1502.5,GCF_000235365.1,207
NC_016528.1,3424,5217,5361,8844,5218,5360,+,1496.1,GCF_000236905.1,142
NC_020189.1,1316160,1317954,1318069,1321571,1317955,1318068,+,1495.3,GCF_000315915.1,113
NW_006921538.1,3589902,3592158,3592301,3599334,3592159,3592300,+,1484.0,GCF_000340215.1,141
NC_035922.1,306630,308432,308625,312196,308433,308624,+,1508.8,GCF_000348985.1,191
NC_035922.1,316054,317856,318049,321620,317857,318048,+,1508.8,GCF_000348985.1,191
NW_006920967.1,273,2066,2249,8895,2067,2248,+,1458.4,GCF_000392275.1,181
NW_020269454.1,86443,88253,88365,93099,88254,88364,+,1494.6,GCF_000439145.1,110
NW_019172956.1,1122711,1124503,1124710,1128190,1124504,1124709,+,1501.0,GCF_000576695.1,205
NC_057317.1,3748740,3751020,3751238,3755235,3751021,3751237,+,1262.8,GCF_000687475.1,216
NC_057317.1,3757331,3759611,3759829,3763826,3759612,3759828,+,1262.8,GCF_000687475.1,216
NC_057317.1,3765922,3768202,3768420,3772417,3768203,3768419,+,1262.8,GCF_000687475.1,216
NC_057317.1,3774512,3776792,3777010,3781007,3776793,3777009,+,1262.8,GCF_000687475.1,216
NW_014575560.1,990762,992602,992727,999851,992603,992726,+,1403.0,GCF_000708205.1,123
NW_015971807.1,249114,251251,251422,257188,251252,251421,+,951.0,GCF_000732125.1,169
NW_014575393.1,564,1947,2114,5750,1948,2113,+,533.4,GCF_000803265.1,165
NW_014574660.1,2725,4523,4690,10446,4524,4689,+,1420.1,GCF_000814965.1,165
NW_014574716.1,2533322,2535117,2535255,2542148,2535118,2535254,+,1455.2,GCF_000814965.1,136
NW_015971153.1,705,2500,2689,6719,2501,2688,+,1446.8,GCF_000961545.1,187
NW_017264949.1,71649,73432,73585,78716,73433,73584,+,1286.6,GCF_001329695.1,151
NW_017264949.1,80185,81979,82134,87812,81980,82133,+,1333.6,GCF_001329695.1,153
NW_017264949.1,88781,90584,90739,96424,90585,90738,+,1404.9,GCF_001329695.1,153
NW_017264949.1,97392,99193,99348,105027,99194,99347,+,1397.7,GCF_001329695.1,153
NW_017264949.1,105995,107798,107953,113639,107799,107952,+,1393.6,GCF_001329695.1,153
NW_017264949.1,114608,116411,116566,122247,116412,116565,+,1404.9,GCF_001329695.1,153
NW_017264949.1,123216,125014,125169,130854,125015,125168,+,1383.3,GCF_001329695.1,153
NW_017264949.1,131823,133626,133781,139466,133627,133780,+,1404.9,GCF_001329695.1,153
NW_017264949.1,140435,142237,142392,148079,142238,142391,+,1381.9,GCF_001329695.1,153
NW_017264949.1,149048,150851,151006,154767,150852,151005,+,1404.9,GCF_001329695.1,153
NW_017264776.1,609255,611058,611218,616306,611059,611217,+,1528.8,GCF_001477535.1,158
NW_017265150.1,788644,790473,790671,793995,790474,790670,+,1393.4,GCF_001638985.1,196
NW_017265150.1,800726,801902,802100,806466,801903,802099,+,152.9,GCF_001638985.1,196
NW_019173744.1,146795,148964,149172,151836,148965,149171,+,1482.6,GCF_001646965.1,206
NW_017387254.1,7347,9141,9343,15860,9142,9342,+,1481.5,GCF_001651985.1,200
NC_035795.1,2728463,2730256,2730428,2733990,2730257,2730427,+,1451.8,GCF_001653235.2,170
NW_017263925.1,5753,7547,7704,11229,7548,7703,+,1439.1,GCF_001672515.1,155
NW_017263920.1,7951,9745,9931,13456,9746,9930,+,1439.1,GCF_001672515.1,184
NW_017263925.1,13967,15761,15895,19420,15762,15894,+,1439.1,GCF_001672515.1,132
NW_017263920.1,16142,17936,18122,21647,17937,18121,+,1439.1,GCF_001672515.1,184
NW_019170274.1,613,2410,2593,6069,2411,2592,+,1505.5,GCF_001792695.1,181
NW_019173199.1,25755,27542,27722,31245,27543,27721,+,1277.6,GCF_001831195.1,178
NW_019028973.1,4835,6636,6758,11811,6637,6757,+,1509.3,GCF_002102565.1,120
NW_019028973.1,12549,14350,14472,18055,14351,14471,+,1509.3,GCF_002102565.1,120
NW_020169890.1,991,2794,2993,7437,2795,2992,+,1517.7,GCF_002117355.1,197
NW_020798475.1,1386,3183,3370,10490,3184,3369,+,1504.5,GCF_002237265.1,185
NW_020194005.1,123170,124957,125060,128451,124958,125059,+,1484.7,GCF_002251995.1,101
NW_020193984.1,911929,913716,913818,917209,913717,913817,+,1485.5,GCF_002251995.1,100
NW_020194005.1,1879583,1881370,1881472,1884863,1881371,1881471,+,1485.5,GCF_002251995.1,100
NW_020193984.1,2378228,2380015,2380117,2383508,2380016,2380116,+,1485.6,GCF_002251995.1,100
NW_020194005.1,2504455,2506242,2506345,2509736,2506243,2506344,+,1485.9,GCF_002251995.1,101
NW_020194005.1,2562746,2564533,2564635,2568026,2564534,2564634,+,1484.5,GCF_002251995.1,100
NW_020193984.1,2861010,2862797,2862900,2866291,2862798,2862899,+,1485.8,GCF_002251995.1,101
NW_024468496.1,3538,5332,5481,9171,5333,5480,+,1502.5,GCF_002846915.1,147
NW_020194293.1,9230,11024,11209,14878,11025,11208,+,1495.3,GCF_002847465.1,183
NW_020194292.1,12290,14086,14272,17946,14087,14271,+,1504.5,GCF_002847465.1,184
NW_020194278.1,3334129,3337724,3337910,3341374,3337725,3337909,+,1296.5,GCF_002847465.1,184
NW_020194278.1,3344008,3345805,3345992,3349457,3345806,3345991,+,1504.5,GCF_002847465.1,185
NW_020194413.1,14890,16687,16877,19584,16688,16876,+,1503.8,GCF_002849105.1,188
NC_086142.1,1473551,1475352,1475476,1478993,1475353,1475475,+,1517.7,GCF_002954075.1,122
NC_086142.1,1481704,1483504,1483628,1486985,1483505,1483627,+,1516.2,GCF_002954075.1,122
NC_086142.1,1489691,1491490,1491614,1494826,1491491,1491613,+,1517.9,GCF_002954075.1,122
NC_042507.1,2736847,2738611,2738716,2742165,2738612,2738715,+,1432.5,GCF_003054445.1,103
NC_042506.1,2844489,2846253,2846358,2849807,2846254,2846357,+,1432.5,GCF_003054445.1,103
NC_040196.1,726918,728695,728908,733604,728696,728907,+,1470.2,GCF_003290485.1,211
NC_040196.1,734670,736447,736660,741356,736448,736659,+,1470.2,GCF_003290485.1,211
NC_040196.1,742422,744199,744412,749109,744200,744411,+,1470.2,GCF_003290485.1,211
NC_040196.1,750175,751952,752165,756859,751953,752164,+,1470.2,GCF_003290485.1,211
NC_040196.1,757925,759702,759915,764609,759703,759914,+,1470.2,GCF_003290485.1,211
NC_040196.1,765675,767452,767665,772359,767453,767664,+,1470.2,GCF_003290485.1,211
NC_040196.1,773425,775202,775415,781166,775203,775414,+,1470.2,GCF_003290485.1,211
NW_022984632.1,3204868,3206662,3206850,3210534,3206663,3206849,+,1484.3,GCF_003426965.1,186
NW_020939778.1,399,2205,2406,5950,2206,2405,+,1461.0,GCF_003851025.1,199
NW_020939778.1,10435,12242,12444,15946,12243,12443,+,1496.6,GCF_003851025.1,200
NW_020939757.1,1471478,1473285,1473486,1476987,1473286,1473485,+,1496.6,GCF_003851025.1,199
NW_020939757.1,1481503,1483310,1483511,1487012,1483311,1483510,+,1496.6,GCF_003851025.1,199
NW_020939757.1,1491528,1493335,1493536,1497037,1493336,1493535,+,1496.6,GCF_003851025.1,199
NW_021167133.1,8529,10330,10450,13943,10331,10449,+,1501.3,GCF_003942205.1,118
NW_021167133.1,16115,17916,18036,21529,17917,18035,+,1501.3,GCF_003942205.1,118
NW_021167167.1,59624,61422,61609,64260,61423,61608,+,1506.4,GCF_004022145.1,185
NC_043718.1,1048,2845,3068,7357,2846,3067,+,1459.2,GCF_005498985.1,221
NC_043718.1,8761,10558,10781,15070,10559,10780,+,1459.2,GCF_005498985.1,221
NC_043718.1,61555,63342,63558,67839,63343,63557,+,1401.5,GCF_005498985.1,214
NC_043718.1,72512,74306,74528,78803,74307,74527,+,1418.9,GCF_005498985.1,220
NC_043718.1,80205,82002,82225,86514,82003,82224,+,1459.2,GCF_005498985.1,221
NW_022474172.1,13,1816,1948,5469,1817,1947,+,1514.1,GCF_008629635.1,130
NC_072350.1,3652691,3654489,3654669,3658127,3654490,3654668,+,1489.8,GCF_009556855.1,178
NC_072350.1,3660486,3662282,3662462,3665913,3662283,3662461,+,1489.8,GCF_009556855.1,178
NC_072350.1,3668266,3670064,3670244,3673699,3670065,3670243,+,1499.1,GCF_009556855.1,178
NC_072350.1,3676047,3677843,3678023,3681479,3677844,3678022,+,1489.8,GCF_009556855.1,178
NW_024468947.1,10052,11849,11995,15438,11850,11994,+,652.3,GCF_010015615.1,144
NW_022985045.1,5532,9683,9827,13373,9684,9826,+,650.5,GCF_010015815.1,142
NW_022985040.1,17539,19776,19920,23466,19777,19919,+,529.0,GCF_010015815.1,142
NW_022985041.1,31669,33895,34039,41160,33896,34038,+,625.9,GCF_010015815.1,142
NW_022985040.1,39268,41494,41638,45238,41495,41637,+,724.3,GCF_010015815.1,142
NW_022985040.1,75758,77984,78128,81700,77985,78127,+,874.0,GCF_010015815.1,142
NW_022985040.1,85407,87633,87777,91673,87634,87776,+,711.4,GCF_010015815.1,142
NW_022985588.1,5602,7399,7542,11531,7400,7541,+,1202.0,GCF_010093815.1,141
NC_052375.1,1408646,1410433,1410563,1415018,1410434,1410562,+,1500.2,GCF_011074865.1,128
NC_052374.1,4189649,4191444,4191574,4196042,4191445,4191573,+,1509.8,GCF_011074865.1,128
NC_052374.1,4210447,4212243,4212373,4216844,4212244,4212372,+,1509.8,GCF_011074865.1,128
NC_052374.1,4231255,4233049,4233179,4237647,4233050,4233178,+,1498.9,GCF_011074865.1,128
NC_052374.1,4252026,4253806,4253934,4256770,4253807,4253933,+,1461.2,GCF_011074865.1,126
NW_024468914.1,562903,565244,565494,570471,565245,565493,+,1446.5,GCF_011745365.1,248
NW_024468914.1,572005,574346,574596,581713,574347,574595,+,1446.5,GCF_011745365.1,248
NW_025544752.1,2616,4787,4961,9030,4788,4960,+,500.9,GCF_011800055.1,172
NW_025544752.1,12060,14231,14405,18311,14232,14404,+,723.9,GCF_011800055.1,172
NW_025544752.1,21566,23737,23911,27802,23738,23910,+,507.5,GCF_011800055.1,172
NW_025544724.1,453408,455579,455753,459646,455580,455752,+,336.1,GCF_011800055.1,172
NW_025544724.1,462852,465023,465197,469068,465024,465196,+,326.2,GCF_011800055.1,172
NW_025544724.1,471974,474145,474319,478225,474146,474318,+,340.1,GCF_011800055.1,172
